age,gender,height,current_weight,target_weight,activity_level,sports_days,sleep_hours,Avg_Caloric_Intake,water_intake,night_eating,stress_level,commitment,motivation,success
51,0,160,104,95,3,3,5.8,2951,3.0,0,10,10,2,1
50,0,161,81,63,2,1,5.5,2361,3.5,1,9,6,4,0
40,0,182,86,65,4,4,5.6,2700,2.7,0,9,1,1,0
41,0,155,77,53,4,6,5.9,2224,4.3,0,8,5,10,1
54,1,159,92,86,1,1,7.7,2148,3.4,1,7,10,5,1
52,1,188,125,114,2,3,7.8,3376,1.6,1,1,2,10,0
61,0,188,106,98,3,3,7.0,2715,1.5,1,9,1,1,0
57,1,168,103,91,4,6,5.0,3401,3.5,1,10,9,6,1
39,1,158,89,84,3,2,7.9,3091,1.8,0,2,6,10,1
44,0,183,93,79,3,2,7.0,2772,3.6,0,6,1,8,1
52,1,169,79,74,2,1,6.3,1964,2.5,0,10,10,10,1
18,0,156,84,79,3,1,8.3,2311,3.1,0,5,9,1,0
52,1,161,94,86,4,4,6.8,3266,2.0,1,6,9,6,0
54,1,160,106,85,3,2,6.9,3115,2.2,1,8,7,4,0
64,1,178,102,93,4,4,5.9,3100,2.8,0,8,9,9,1
31,1,190,138,120,3,2,5.3,3924,3.5,0,10,1,8,0
20,1,186,94,84,3,2,8.1,2809,2.0,0,2,3,4,0
18,1,176,125,114,3,2,8.2,3689,2.3,0,7,8,2,0
22,1,171,105,93,2,3,7.7,2741,2.1,0,2,3,6,0
43,0,179,115,93,3,1,7.8,2946,4.1,1,1,8,3,0
31,0,172,81,73,2,2,5.8,2059,3.4,0,8,3,1,1
56,0,164,69,62,1,1,5.9,1683,2.9,1,9,4,7,0
44,0,182,122,114,2,2,7.7,3031,4.3,1,7,4,4,0
26,1,189,97,77,2,3,8.1,3018,3.7,1,4,5,9,1
32,1,169,78,61,3,1,6.6,2186,4.3,1,7,10,10,0
32,1,188,100,85,3,3,6.8,2968,3.3,1,4,10,10,1
43,0,172,79,64,4,4,7.2,2472,1.9,0,7,4,3,0
59,0,171,104,95,4,6,8.3,3194,3.5,0,4,7,10,1
30,0,156,78,54,4,4,6.4,2880,2.1,0,9,4,10,0
49,1,182,98,93,3,3,7.8,2972,2.5,1,5,1,10,0
56,0,187,113,95,2,1,8.5,3397,3.0,1,7,5,1,0
49,1,181,129,105,4,6,6.1,3742,2.0,1,8,8,2,0
21,0,161,105,82,4,5,7.1,3398,1.6,0,5,6,4,1
47,1,159,84,75,2,1,7.4,2651,2.5,0,1,4,7,0
54,0,177,109,85,4,4,6.9,3700,4.0,0,4,4,8,0
40,1,171,85,75,3,2,6.9,2201,1.5,0,3,1,4,1
56,0,172,99,76,1,1,7.3,2511,1.8,0,7,10,3,0
62,0,193,141,125,1,1,8.3,3573,3.9,1,6,1,10,0
32,1,183,112,94,4,5,6.9,3596,2.4,1,6,3,9,0
60,1,171,88,67,1,0,7.5,2180,4.3,0,2,4,8,1
46,0,155,84,73,1,0,7.4,2358,2.6,0,6,4,6,0
53,1,156,100,95,3,3,5.9,2622,3.9,0,8,2,9,0
30,0,182,133,112,3,3,7.2,3695,2.3,0,5,9,8,1
49,1,188,135,125,2,1,7.0,3694,1.7,0,9,8,7,1
24,0,183,99,91,4,4,8.3,3059,4.1,1,2,3,6,0
39,1,171,85,67,1,0,6.7,2099,4.3,1,7,2,10,1
45,0,156,95,83,2,3,7.5,2446,3.6,1,6,1,3,0
19,0,193,105,83,4,4,7.8,3409,3.8,0,6,10,6,1
59,0,194,133,109,3,2,6.8,3592,1.5,1,4,9,4,0
62,1,176,101,84,2,1,6.3,2626,3.8,1,10,5,5,0
23,0,157,82,70,2,1,6.2,2422,2.9,1,9,8,7,0
45,1,176,102,82,4,4,7.3,3194,2.9,1,6,4,7,0
45,1,190,146,137,4,6,6.5,4163,3.1,1,8,2,9,0
61,1,182,87,80,1,1,6.2,1972,2.3,0,8,5,9,1
61,0,183,129,112,1,0,7.6,3208,3.6,0,4,8,6,1
37,1,158,98,79,4,5,7.4,3002,2.4,0,5,6,6,1
47,1,159,104,96,1,1,8.1,2704,3.2,1,2,8,2,1
28,1,160,83,76,4,4,8.0,2138,1.9,0,4,3,8,1
45,0,191,122,116,1,1,7.7,3005,3.5,1,6,5,3,1
42,1,176,128,120,2,1,7.6,3397,2.1,0,2,2,1,0
56,1,186,114,104,3,3,8.2,3241,2.0,0,2,3,4,1
50,1,159,85,77,1,1,5.9,2076,1.6,1,10,7,5,1
18,1,192,113,92,3,2,8.4,3033,1.9,0,7,1,3,0
44,0,187,90,79,2,3,6.5,2600,2.2,1,10,8,7,0
30,0,163,87,65,2,2,7.8,2608,2.2,0,5,5,5,1
58,1,189,130,116,4,4,7.6,3810,2.5,0,3,2,10,1
20,1,165,100,79,1,1,7.2,2369,1.7,1,3,3,5,1
56,1,163,66,58,4,4,8.4,2625,4.3,1,7,4,6,1
23,1,165,105,82,2,2,8.0,2775,1.9,1,3,2,6,0
25,0,191,122,111,4,5,5.2,3947,3.6,1,10,10,9,1
44,0,191,124,107,3,2,7.8,3538,3.1,0,5,5,3,1
26,0,168,116,109,1,0,7.4,2496,3.2,0,2,7,8,1
54,0,183,100,88,4,4,6.8,3205,1.8,0,3,9,7,1
50,1,182,125,110,3,3,8.0,3483,2.2,1,4,1,9,0
59,1,187,121,101,1,1,8.5,2890,3.8,1,1,10,5,1
61,0,166,102,78,1,1,7.0,2647,2.9,0,4,6,7,1
41,0,175,98,75,2,1,6.5,2745,2.9,1,4,6,8,0
32,1,181,98,85,4,5,8.1,3056,3.1,0,3,1,9,1
49,1,156,83,69,2,1,7.0,1960,2.8,1,10,2,8,1
49,1,170,90,80,3,1,6.1,2855,3.9,0,9,8,2,0
41,1,182,96,89,1,1,7.1,2391,3.7,0,3,6,6,1
58,1,165,107,83,3,3,8.2,2926,2.5,1,2,1,4,0
29,0,193,123,111,1,0,7.5,3217,3.9,0,7,10,4,1
56,0,156,96,86,2,2,5.7,2681,3.1,0,9,10,9,1
19,1,193,123,111,4,6,7.4,3879,3.4,0,6,6,7,1
20,1,163,92,74,2,1,8.5,2459,4.1,0,5,10,6,1
54,0,156,103,91,1,0,7.1,2514,2.9,0,1,7,2,0
34,1,166,114,99,3,3,8.2,3367,3.8,1,3,2,1,0
19,0,186,102,88,2,1,6.0,3015,3.4,1,9,4,10,0
19,0,185,136,122,1,1,7.0,3122,2.8,1,8,7,4,0
45,0,163,84,69,1,1,5.9,1577,3.9,0,9,6,9,1
40,0,162,69,64,1,1,7.3,1405,1.8,0,8,8,4,1
54,1,180,113,94,1,0,6.7,2386,3.2,0,1,6,2,1
49,1,173,125,116,3,1,6.0,3847,1.6,1,8,2,8,0
50,0,186,144,126,1,1,5.8,3134,2.0,1,8,1,6,0
18,1,155,66,42,3,1,8.5,2482,3.3,1,5,5,1,0
36,1,179,122,110,3,2,7.7,3404,2.4,0,6,10,4,0
19,1,184,131,110,4,4,6.5,3945,2.3,0,2,10,10,1
61,1,194,118,110,3,1,8.0,3636,4.4,0,1,9,5,1
43,0,182,120,112,4,5,5.3,3370,2.6,1,8,2,1,0
49,1,164,89,67,3,2,8.4,2639,3.2,1,7,7,2,0
23,0,159,73,50,2,1,7.6,2328,3.1,0,4,9,9,1
49,0,180,123,116,3,3,8.3,3714,1.7,0,7,4,1,0
21,1,175,91,78,3,1,7.8,2871,3.5,1,2,4,8,1
28,0,190,112,101,4,5,8.1,3111,3.0,0,2,10,9,1
34,1,184,95,89,3,1,7.1,2829,2.6,1,7,5,2,0
55,1,175,114,101,1,0,7.4,2642,1.7,0,3,6,2,0
41,0,171,96,86,4,4,7.8,3028,2.4,0,6,7,7,1
22,1,171,95,85,2,1,6.5,2525,4.2,1,7,9,10,1
51,0,164,94,74,4,4,8.3,2980,2.0,0,7,6,9,1
23,0,155,67,61,3,1,7.0,2362,2.2,0,10,3,10,1
39,1,177,127,107,3,3,7.8,3542,2.1,1,4,2,9,0
28,1,163,87,80,2,1,8.1,3021,4.2,1,3,6,3,0
33,1,163,83,63,3,2,7.3,2603,3.6,0,1,9,7,1
50,0,160,69,53,1,1,6.7,1955,4.1,1,7,3,6,0
26,1,162,73,66,1,0,6.2,1938,4.2,1,9,4,8,1
23,0,156,99,84,4,4,8.5,3055,4.3,0,1,3,8,1
33,0,181,108,93,3,2,8.3,3140,3.0,0,5,7,8,1
46,1,171,109,89,1,0,7.4,2355,2.9,1,4,4,8,1
20,1,177,83,74,2,3,6.7,2488,4.0,1,10,6,10,0
37,1,180,117,93,4,4,7.8,3450,2.5,0,2,6,6,1
53,0,193,152,140,2,1,7.5,3889,1.6,1,7,9,9,1
36,1,157,74,59,3,1,7.0,2484,2.5,1,7,5,5,0
43,0,171,102,87,1,0,6.1,2344,3.6,0,8,7,4,1
20,1,164,111,89,4,6,8.1,3689,1.9,0,3,1,7,1
36,1,174,112,89,1,1,7.0,2852,3.9,1,6,8,3,1
37,0,191,95,81,3,3,7.0,2653,3.9,0,4,2,8,1
49,0,183,106,98,2,2,8.2,2673,1.8,1,3,4,8,0
24,1,181,87,73,3,2,7.6,2500,1.8,1,4,10,5,0
58,1,172,118,100,3,3,7.0,3588,2.1,0,1,7,10,1
50,1,181,117,107,3,2,7.5,3042,2.6,0,7,6,8,1
57,1,156,100,91,1,1,6.8,2244,3.1,1,7,4,3,0
56,1,178,80,61,2,3,8.3,2285,3.0,0,7,8,3,1
35,0,177,101,92,1,0,7.3,2223,4.1,1,2,7,4,1
57,0,168,76,66,1,0,6.7,2016,1.9,0,1,6,9,1
18,0,163,82,59,4,5,6.1,2762,3.6,0,9,5,5,0
28,0,187,97,73,1,1,7.3,2062,3.1,1,2,5,6,1
45,1,157,75,54,3,2,7.7,2268,3.7,1,5,7,4,1
42,0,157,96,78,1,0,7.0,2058,2.5,0,5,6,9,1
40,0,172,82,67,2,1,5.6,2129,2.9,0,8,4,4,1
48,0,165,90,72,3,3,8.3,2680,1.6,0,1,7,3,0
47,1,184,138,129,2,1,8.0,3740,1.8,1,7,5,2,0
59,0,180,136,119,3,3,8.2,3684,2.6,0,3,7,3,1
52,1,185,101,85,1,1,8.0,2632,2.9,1,2,7,1,0
24,0,167,115,92,4,4,8.0,3025,1.8,1,5,2,8,0
33,1,184,100,86,4,5,7.7,3147,4.0,0,4,4,1,1
43,0,189,115,98,1,1,6.3,2795,4.3,0,9,10,6,0
19,1,168,113,94,3,3,7.8,3502,3.3,1,1,4,2,0
18,0,168,109,85,2,3,7.7,3210,1.7,1,3,7,3,0
29,1,190,144,127,3,1,7.3,3864,3.7,0,3,8,9,1
22,1,156,95,87,2,3,8.3,2777,2.2,1,4,1,9,0
54,0,169,82,69,1,0,7.6,1939,3.7,0,7,7,6,1
49,1,159,88,65,1,0,7.3,1919,2.8,0,5,6,7,1
26,1,156,76,52,1,0,5.1,2237,1.7,0,10,10,5,0
58,0,159,83,72,4,6,7.5,2693,2.3,1,6,1,7,0
52,0,172,81,62,3,1,7.3,2327,2.8,1,3,8,6,0
36,1,182,101,80,1,1,7.8,2320,3.7,1,5,5,5,1
33,0,166,109,91,4,4,6.9,3054,1.9,1,2,7,3,0
20,0,188,143,125,4,6,7.3,4469,2.4,0,4,8,2,1
37,0,172,105,92,1,1,6.5,2881,1.8,1,3,7,5,0
41,1,193,125,105,1,1,6.9,2622,3.3,1,3,10,8,1
50,1,193,138,132,2,3,8.3,3736,2.9,0,4,1,5,0
41,1,185,122,104,1,0,5.9,3280,4.3,1,8,6,3,0
28,1,192,154,146,2,2,6.2,4277,3.7,1,8,1,10,0
25,1,183,94,87,4,4,7.8,2962,3.8,0,1,4,3,1
53,1,190,118,111,4,5,6.7,3273,2.0,1,5,4,5,0
55,1,164,109,94,1,0,8.2,2566,2.3,1,2,8,9,0
57,0,168,115,106,4,6,6.3,3127,3.0,1,10,6,8,1
37,1,185,114,94,1,0,6.6,2730,1.5,1,6,7,7,0
52,1,171,80,57,2,3,7.0,2235,4.1,1,3,10,5,1
42,0,188,138,125,4,5,5.8,4203,3.8,1,10,7,9,1
52,0,190,126,111,2,1,6.1,3245,1.7,0,10,7,2,0
42,0,166,106,90,4,4,5.9,2957,4.0,1,9,10,6,1
46,1,187,116,104,1,0,6.6,3156,1.5,0,9,2,7,0
35,0,161,73,55,3,3,6.0,2546,1.8,0,8,6,7,1
63,1,168,72,51,4,5,7.1,2266,1.7,0,2,8,4,1
35,1,175,106,82,2,2,7.3,2860,2.9,1,2,8,2,0
19,1,164,74,55,3,3,8.0,2637,3.9,0,2,4,1,0
52,0,178,89,70,2,3,7.2,2467,2.0,0,5,7,1,1
33,0,178,102,86,2,3,5.4,2720,3.8,1,10,9,3,0
58,1,163,86,73,1,1,6.9,1979,2.1,1,9,8,7,1
53,1,186,103,87,4,4,7.7,3154,4.5,0,7,2,5,0
50,1,180,88,65,3,3,7.4,3017,4.1,0,7,8,7,1
21,0,167,115,99,3,3,7.4,3210,3.7,1,3,3,9,1
50,1,164,73,58,1,1,6.8,1638,3.3,1,3,4,8,1
31,0,190,111,101,1,1,7.0,2307,2.2,0,10,3,1,0
38,1,188,107,95,4,6,8.5,3155,1.9,1,3,8,4,1
37,0,164,107,92,1,1,7.0,2547,2.9,1,1,4,5,0
25,1,156,78,71,2,2,5.5,1747,2.7,0,8,1,7,1
24,0,187,94,74,3,1,7.0,2928,3.5,1,2,9,8,1
20,0,179,81,71,1,0,7.6,1814,2.0,0,7,9,8,1
34,0,159,94,81,2,2,6.3,2473,3.2,1,9,1,4,0
50,0,178,118,105,2,1,8.0,3365,3.6,1,2,8,7,1
29,0,173,96,86,1,1,6.8,2446,2.4,0,1,2,2,0
39,0,185,93,84,3,1,7.0,2560,3.8,1,5,7,9,1
39,1,163,83,78,1,0,7.2,1761,2.8,0,10,1,6,1
63,1,173,104,97,1,1,8.3,2406,2.0,1,5,6,4,0
47,1,161,96,89,2,1,7.8,2695,2.1,0,1,10,6,1
55,1,193,98,82,4,4,5.3,3552,2.3,0,9,10,7,1
55,0,186,119,111,3,1,7.0,3264,2.0,1,3,8,10,1
62,1,184,101,81,3,2,7.8,3089,3.2,0,2,6,8,1
25,0,182,118,103,1,0,8.1,2947,4.3,1,7,9,4,1
44,0,171,106,94,4,5,7.0,3074,4.2,1,5,1,9,1
44,0,191,149,136,3,1,8.4,3831,2.5,0,4,9,6,1
51,1,157,79,61,2,3,7.1,1934,4.1,0,4,3,1,1
38,0,187,119,100,2,2,6.9,2919,4.4,0,9,2,3,0
47,1,163,79,56,4,6,6.7,2765,2.4,0,9,8,1,0
50,1,167,84,71,4,6,8.2,2763,4.2,0,1,10,6,1
45,1,175,79,58,2,1,5.4,2269,4.5,1,10,5,6,0
64,1,186,103,90,1,1,7.7,2153,3.9,1,7,1,7,1
50,1,188,92,85,2,1,6.7,2550,2.7,0,8,1,1,0
22,0,178,131,111,1,0,8.1,3122,3.3,0,5,2,1,0
36,0,171,104,87,3,1,7.3,2623,2.6,1,7,7,5,0
21,1,192,103,82,3,3,6.4,2850,4.5,1,8,2,5,0
52,0,164,73,65,2,3,6.0,2019,1.7,1,8,9,1,0
34,1,187,109,96,1,1,6.5,2533,4.2,0,9,6,7,1
61,0,179,97,84,3,2,8.4,2630,1.7,0,5,4,7,0
45,0,170,86,64,2,3,7.4,2551,1.6,0,2,4,6,0
47,0,155,79,61,2,2,7.5,1910,4.3,1,6,3,7,1
46,0,172,121,97,1,0,8.2,2739,4.1,1,1,9,6,1
63,0,166,95,88,3,1,7.1,3097,2.6,0,10,2,10,0
23,0,159,85,77,2,1,8.3,1983,4.4,0,6,9,2,1
52,0,158,96,91,3,1,8.0,2825,4.1,0,3,3,5,0
58,0,168,71,49,2,2,6.8,2266,4.2,1,3,4,7,0
54,0,179,91,83,4,6,6.9,2712,3.3,1,7,9,2,1
41,0,188,118,104,4,4,6.8,3530,4.4,0,4,3,5,1
46,0,162,97,89,2,2,7.4,2623,3.9,0,5,6,3,1
63,0,171,98,77,3,2,7.6,3268,4.3,1,6,5,9,1
48,0,170,80,68,1,0,5.8,1802,2.3,1,10,6,10,1
52,1,175,125,102,1,0,6.8,3016,3.1,0,6,5,1,0
50,0,187,107,94,1,0,6.8,2252,4.1,1,2,3,7,1
38,0,177,120,100,1,0,6.8,3085,3.2,1,3,2,10,0
49,0,188,143,124,1,1,6.8,3282,3.9,0,1,10,4,1
40,0,175,95,71,1,0,7.4,2227,4.4,1,3,9,5,1
50,0,179,126,106,2,3,6.8,3323,3.9,0,8,4,1,0
20,0,172,110,94,4,6,6.5,3343,2.4,1,4,10,5,1
35,1,187,142,120,1,0,7.5,3480,1.9,1,2,6,8,0
42,1,191,107,96,3,2,7.1,3009,2.3,0,4,9,6,1
59,1,180,133,113,3,3,6.7,3599,3.5,0,7,5,2,1
48,0,187,92,69,3,3,6.0,2775,1.5,0,9,7,2,0
20,0,157,95,85,2,3,6.6,2687,2.1,0,5,5,9,1
57,0,191,118,108,3,3,6.9,3044,2.5,0,5,9,1,0
63,1,162,74,64,4,6,7.7,2365,4.1,0,5,2,2,1
41,0,165,71,52,4,5,5.8,2719,1.7,0,10,3,8,0
49,0,157,78,72,2,3,7.2,2246,1.6,0,9,5,6,0
64,1,193,118,105,1,0,6.9,2669,3.2,0,7,2,3,0
39,1,189,103,91,1,0,8.2,2463,2.0,1,3,6,3,1
40,0,191,105,94,2,3,7.1,2990,2.2,0,2,10,9,1
19,0,188,113,93,4,4,6.0,3655,2.1,1,9,3,2,0
44,0,174,96,77,4,4,8.5,2811,3.2,0,3,5,10,1
59,0,191,119,106,3,2,6.6,3650,1.7,1,8,5,5,0
19,1,193,149,125,3,3,8.4,3941,4.3,0,4,10,7,1
43,0,175,108,89,3,2,6.5,3008,1.9,0,5,8,6,0
34,0,162,66,60,3,3,6.0,2256,4.4,0,8,9,1,0
57,1,181,111,87,1,0,7.6,2969,3.8,0,5,4,10,1
50,0,194,142,124,2,1,5.7,3679,4.0,1,10,10,3,0
26,0,189,93,78,3,1,7.2,2412,2.0,1,2,1,5,1
60,1,189,115,108,1,0,8.4,2935,3.5,1,6,5,3,0
56,1,192,120,114,1,1,8.2,3174,4.0,1,7,4,3,0
46,0,190,149,127,3,3,8.4,4196,3.2,0,1,5,5,1
59,1,186,114,96,1,1,6.3,2735,3.2,1,10,9,8,0
43,1,183,127,118,3,3,6.1,3254,2.0,1,9,8,10,1
52,0,165,82,66,2,3,8.2,2149,2.7,0,6,8,8,1
42,1,179,123,105,4,5,8.3,3519,2.0,1,4,8,8,1
41,0,175,94,84,2,1,7.4,2621,4.4,0,2,1,6,0
30,0,189,116,104,3,2,6.3,3490,3.6,0,9,7,9,1
24,0,174,101,90,4,4,7.5,3267,1.6,0,6,4,5,1
53,0,160,104,93,3,3,6.7,3031,2.9,0,9,6,10,1
62,1,155,62,46,4,4,8.2,2295,3.4,1,2,4,7,0
37,0,182,94,83,3,3,8.4,2892,1.8,1,5,5,1,0
18,0,176,115,99,1,0,7.9,3014,3.5,1,6,5,4,0
25,0,168,98,78,3,3,8.4,3128,2.0,0,5,1,1,0
63,0,161,76,65,1,0,7.7,2193,2.7,1,6,6,10,0
33,1,173,90,78,4,5,7.4,2909,3.4,0,3,10,2,1
31,1,159,79,74,3,2,6.9,2526,2.6,1,9,8,6,0
29,1,168,92,75,2,1,7.7,2407,2.6,1,2,5,1,0
40,0,170,112,89,2,2,8.3,3178,4.0,0,2,10,9,1
32,1,173,76,71,4,4,7.4,2807,2.4,1,5,6,6,0
